Array IDX,Name,Card 1,Card 2,Shape,Hand,Rank
0,9h9c,9c,9h,Pair,99,17
1,KcJc,Kc,Jc,Suited,KJs,9
2,As6d,As,6d,Offsuit,A6o,113
3,AdKh,Ad,Kh,Offsuit,AKo,11
4,JhTd,Jh,Td,Offsuit,JTo,47
5,Jh2c,Jh,2c,Offsuit,J2o,155
6,6c3s,6c,3s,Offsuit,63o,148
7,Ac9h,Ac,9h,Offsuit,A9o,76
8,9c2h,9c,2h,Offsuit,92o,166
9,JhTc,Jh,Tc,Offsuit,JTo,47
10,Qh6h,Qh,6h,Suited,Q6s,66
11,AcQs,Ac,Qs,Offsuit,AQo,18
12,JdTh,Jd,Th,Offsuit,JTo,47
13,Qs8s,Qs,8s,Suited,Q8s,43
14,9d7h,9d,7h,Offsuit,97o,119
15,8h5d,8h,5d,Offsuit,85o,139
16,7s6d,7s,6d,Offsuit,76o,121
17,Ks6s,Ks,6s,Suited,K6s,53
18,Kh9d,Kh,9d,Offsuit,K9o,81
19,7c5d,7c,5d,Offsuit,75o,130
20,2h2c,2c,2h,Pair,22,52
21,Ac8s,Ac,8s,Offsuit,A8o,91
22,Jh6h,Jh,6h,Suited,J6s,79
23,6d5s,6d,5s,Offsuit,65o,123
24,3d2h,3d,2h,Offsuit,32o,159
25,KhQh,Kh,Qh,Suited,KQs,7
26,9d2d,9d,2d,Suited,92s,111
27,4h3s,4h,3s,Offsuit,43o,142
28,Qs2c,Qs,2c,Offsuit,Q2o,146
29,AdJs,Ad,Js,Offsuit,AJo,27
30,Ks6h,Ks,6h,Offsuit,K6o,125
31,8s5s,8s,5s,Suited,85s,78
32,Kh4d,Kh,4d,Offsuit,K4o,132
33,5s4s,5s,4s,Suited,54s,65
34,Ah7c,Ah,7c,Offsuit,A7o,102
35,Jd3c,Jd,3c,Offsuit,J3o,153
36,9h7s,9h,7s,Offsuit,97o,119
37,Ks5d,Ks,5d,Offsuit,K5o,128
38,Ad8d,Ad,8d,Suited,A8s,24
39,KcQh,Kc,Qh,Offsuit,KQo,20
40,Kc7d,Kc,7d,Offsuit,K7o,122
41,Ts5s,Ts,5s,Suited,T5s,93
42,Qh3c,Qh,3c,Offsuit,Q3o,144
43,Ts4h,Ts,4h,Offsuit,T4o,158
44,Qd6c,Qd,6c,Offsuit,Q6o,137
45,6s5s,6s,5s,Suited,65s,63
46,Qc8h,Qc,8h,Offsuit,Q8o,115
47,Th7s,Th,7s,Offsuit,T7o,124
48,8s5h,8s,5h,Offsuit,85o,139
49,Jd6h,Jd,6h,Offsuit,J6o,147
50,AdTh,Ad,Th,Offsuit,ATo,42
51,TsTc,Tc,Ts,Pair,TT,10
52,7h4c,7h,4c,Offsuit,74o,145
53,Qh2h,Qh,2h,Suited,Q2s,75
54,7d5c,7d,5c,Offsuit,75o,130
55,Ac5d,Ac,5d,Offsuit,A5o,101
56,2d2c,2c,2d,Pair,22,52
57,Qh5s,Qh,5s,Offsuit,Q5o,141
58,9d5d,9d,5d,Suited,95s,88
59,7h6d,7h,6d,Offsuit,76o,121
60,Ah6d,Ah,6d,Offsuit,A6o,113
61,Th4s,Th,4s,Offsuit,T4o,158
62,Js4h,Js,4h,Offsuit,J4o,152
63,Ks9h,Ks,9h,Offsuit,K9o,81
64,KsQc,Ks,Qc,Offsuit,KQo,20
65,Ts3c,Ts,3c,Offsuit,T3o,160
66,Th2c,Th,2c,Offsuit,T2o,162
67,9c5d,9c,5d,Offsuit,95o,150
68,5h3c,5h,3c,Offsuit,53o,138
69,8s3h,8s,3h,Offsuit,83o,167
70,Jh7h,Jh,7h,Suited,J7s,64
71,Kc7h,Kc,7h,Offsuit,K7o,122
72,9d4d,9d,4d,Suited,94s,106
73,6h4s,6h,4s,Offsuit,64o,136
74,5c3s,5c,3s,Offsuit,53o,138
75,Ac2c,Ac,2c,Suited,A2s,39
76,KdKc,Kc,Kd,Pair,KK,2
77,8c3c,8c,3c,Suited,83s,116
78,KcQd,Kc,Qd,Offsuit,KQo,20
79,Ad5d,Ad,5d,Suited,A5s,28
80,Qd4d,Qd,4d,Suited,Q4s,71
81,Qc7d,Qc,7d,Offsuit,Q7o,131
82,Jd2d,Jd,2d,Suited,J2s,89
83,7s4h,7s,4h,Offsuit,74o,145
