Array IDX,Name,Card 1,Card 2,Shape,Hand,Rank
0,2d2c,2c,2d,Pair,22,52
1,2h2c,2c,2h,Pair,22,52
2,2s2c,2c,2s,Pair,22,52
3,2h2d,2d,2h,Pair,22,52
4,2s2d,2d,2s,Pair,22,52
5,2s2h,2h,2s,Pair,22,52
6,3c2c,3c,2c,Suited,32s,105
7,3c2d,3c,2d,Offsuit,32o,159
8,3c2h,3c,2h,Offsuit,32o,159
9,3c2s,3c,2s,Offsuit,32o,159
10,3d3c,3c,3d,Pair,33,51
11,3h3c,3c,3h,Pair,33,51
12,3s3c,3c,3s,Pair,33,51
13,3d2c,3d,2c,Offsuit,32o,159
14,3d2d,3d,2d,Suited,32s,105
15,3d2h,3d,2h,Offsuit,32o,159
16,3d2s,3d,2s,Offsuit,32o,159
17,3h3d,3d,3h,Pair,33,51
18,3s3d,3d,3s,Pair,33,51
19,3h2c,3h,2c,Offsuit,32o,159
20,3h2d,3h,2d,Offsuit,32o,159
21,3h2h,3h,2h,Suited,32s,105
22,3h2s,3h,2s,Offsuit,32o,159
23,3s3h,3h,3s,Pair,33,51
24,3s2c,3s,2c,Offsuit,32o,159
25,3s2d,3s,2d,Offsuit,32o,159
26,3s2h,3s,2h,Offsuit,32o,159
27,3s2s,3s,2s,Suited,32s,105
28,4c2c,4c,2c,Suited,42s,97
29,4c2d,4c,2d,Offsuit,42o,154
30,4c2h,4c,2h,Offsuit,42o,154
31,4c2s,4c,2s,Offsuit,42o,154
32,4c3c,4c,3c,Suited,43s,84
33,4c3d,4c,3d,Offsuit,43o,142
34,4c3h,4c,3h,Offsuit,43o,142
35,4c3s,4c,3s,Offsuit,43o,142
36,4d4c,4c,4d,Pair,44,50
37,4h4c,4c,4h,Pair,44,50
38,4s4c,4c,4s,Pair,44,50
39,4d2c,4d,2c,Offsuit,42o,154
40,4d2d,4d,2d,Suited,42s,97
41,4d2h,4d,2h,Offsuit,42o,154
42,4d2s,4d,2s,Offsuit,42o,154
43,4d3c,4d,3c,Offsuit,43o,142
44,4d3d,4d,3d,Suited,43s,84
45,4d3h,4d,3h,Offsuit,43o,142
46,4d3s,4d,3s,Offsuit,43o,142
47,4h4d,4d,4h,Pair,44,50
48,4s4d,4d,4s,Pair,44,50
49,4h2c,4h,2c,Offsuit,42o,154
50,4h2d,4h,2d,Offsuit,42o,154
51,4h2h,4h,2h,Suited,42s,97
52,4h2s,4h,2s,Offsuit,42o,154
53,4h3c,4h,3c,Offsuit,43o,142
54,4h3d,4h,3d,Offsuit,43o,142
55,4h3h,4h,3h,Suited,43s,84
56,4h3s,4h,3s,Offsuit,43o,142
57,4s4h,4h,4s,Pair,44,50
58,4s2c,4s,2c,Offsuit,42o,154
59,4s2d,4s,2d,Offsuit,42o,154
60,4s2h,4s,2h,Offsuit,42o,154
61,4s2s,4s,2s,Suited,42s,97
62,4s3c,4s,3c,Offsuit,43o,142
63,4s3d,4s,3d,Offsuit,43o,142
64,4s3h,4s,3h,Offsuit,43o,142
65,4s3s,4s,3s,Suited,43s,84
66,5c2c,5c,2c,Suited,52s,92
67,5c2d,5c,2d,Offsuit,52o,151
68,5c2h,5c,2h,Offsuit,52o,151
69,5c2s,5c,2s,Offsuit,52o,151
70,5c3c,5c,3c,Suited,53s,77
71,5c3d,5c,3d,Offsuit,53o,138
72,5c3h,5c,3h,Offsuit,53o,138
73,5c3s,5c,3s,Offsuit,53o,138
74,5c4c,5c,4c,Suited,54s,65
75,5c4d,5c,4d,Offsuit,54o,127
76,5c4h,5c,4h,Offsuit,54o,127
77,5c4s,5c,4s,Offsuit,54o,127
78,5d5c,5c,5d,Pair,55,46
79,5h5c,5c,5h,Pair,55,46
80,5s5c,5c,5s,Pair,55,46
81,5d2c,5d,2c,Offsuit,52o,151
82,5d2d,5d,2d,Suited,52s,92
83,5d2h,5d,2h,Offsuit,52o,151
84,5d2s,5d,2s,Offsuit,52o,151
85,5d3c,5d,3c,Offsuit,53o,138
86,5d3d,5d,3d,Suited,53s,77
87,5d3h,5d,3h,Offsuit,53o,138
88,5d3s,5d,3s,Offsuit,53o,138
89,5d4c,5d,4c,Offsuit,54o,127
90,5d4d,5d,4d,Suited,54s,65
91,5d4h,5d,4h,Offsuit,54o,127
92,5d4s,5d,4s,Offsuit,54o,127
93,5h5d,5d,5h,Pair,55,46
94,5s5d,5d,5s,Pair,55,46
95,5h2c,5h,2c,Offsuit,52o,151
96,5h2d,5h,2d,Offsuit,52o,151
97,5h2h,5h,2h,Suited,52s,92
98,5h2s,5h,2s,Offsuit,52o,151
99,5h3c,5h,3c,Offsuit,53o,138
100,5h3d,5h,3d,Offsuit,53o,138
101,5h3h,5h,3h,Suited,53s,77
102,5h3s,5h,3s,Offsuit,53o,138
103,5h4c,5h,4c,Offsuit,54o,127
104,5h4d,5h,4d,Offsuit,54o,127
105,5h4h,5h,4h,Suited,54s,65
106,5h4s,5h,4s,Offsuit,54o,127
107,5s5h,5h,5s,Pair,55,46
108,5s2c,5s,2c,Offsuit,52o,151
109,5s2d,5s,2d,Offsuit,52o,151
110,5s2h,5s,2h,Offsuit,52o,151
111,5s2s,5s,2s,Suited,52s,92
112,5s3c,5s,3c,Offsuit,53o,138
113,5s3d,5s,3d,Offsuit,53o,138
114,5s3h,5s,3h,Offsuit,53o,138
115,5s3s,5s,3s,Suited,53s,77
116,5s4c,5s,4c,Offsuit,54o,127
117,5s4d,5s,4d,Offsuit,54o,127
118,5s4h,5s,4h,Offsuit,54o,127
119,5s4s,5s,4s,Suited,54s,65
120,6c2c,6c,2c,Suited,62s,110
121,6c2d,6c,2d,Offsuit,62o,163
122,6c2h,6c,2h,Offsuit,62o,163
123,6c2s,6c,2s,Offsuit,62o,163
124,6c3c,6c,3c,Suited,63s,90
125,6c3d,6c,3d,Offsuit,63o,148
126,6c3h,6c,3h,Offsuit,63o,148
127,6c3s,6c,3s,Offsuit,63o,148
128,6c4c,6c,4c,Suited,64s,70
129,6c4d,6c,4d,Offsuit,64o,136
130,6c4h,6c,4h,Offsuit,64o,136
131,6c4s,6c,4s,Offsuit,64o,136
132,6c5c,6c,5c,Suited,65s,63
133,6c5d,6c,5d,Offsuit,65o,123
134,6c5h,6c,5h,Offsuit,65o,123
135,6c5s,6c,5s,Offsuit,65o,123
136,6d6c,6c,6d,Pair,66,36
137,6h6c,6c,6h,Pair,66,36
138,6s6c,6c,6s,Pair,66,36
139,6d2c,6d,2c,Offsuit,62o,163
140,6d2d,6d,2d,Suited,62s,110
141,6d2h,6d,2h,Offsuit,62o,163
142,6d2s,6d,2s,Offsuit,62o,163
143,6d3c,6d,3c,Offsuit,63o,148
144,6d3d,6d,3d,Suited,63s,90
145,6d3h,6d,3h,Offsuit,63o,148
146,6d3s,6d,3s,Offsuit,63o,148
147,6d4c,6d,4c,Offsuit,64o,136
148,6d4d,6d,4d,Suited,64s,70
149,6d4h,6d,4h,Offsuit,64o,136
150,6d4s,6d,4s,Offsuit,64o,136
151,6d5c,6d,5c,Offsuit,65o,123
152,6d5d,6d,5d,Suited,65s,63
153,6d5h,6d,5h,Offsuit,65o,123
154,6d5s,6d,5s,Offsuit,65o,123
155,6h6d,6d,6h,Pair,66,36
156,6s6d,6d,6s,Pair,66,36
157,6h2c,6h,2c,Offsuit,62o,163
158,6h2d,6h,2d,Offsuit,62o,163
159,6h2h,6h,2h,Suited,62s,110
160,6h2s,6h,2s,Offsuit,62o,163
161,6h3c,6h,3c,Offsuit,63o,148
162,6h3d,6h,3d,Offsuit,63o,148
163,6h3h,6h,3h,Suited,63s,90
164,6h3s,6h,3s,Offsuit,63o,148
165,6h4c,6h,4c,Offsuit,64o,136
166,6h4d,6h,4d,Offsuit,64o,136
167,6h4h,6h,4h,Suited,64s,70
168,6h4s,6h,4s,Offsuit,64o,136
169,6h5c,6h,5c,Offsuit,65o,123
170,6h5d,6h,5d,Offsuit,65o,123
171,6h5h,6h,5h,Suited,65s,63
172,6h5s,6h,5s,Offsuit,65o,123
173,6s6h,6h,6s,Pair,66,36
174,6s2c,6s,2c,Offsuit,62o,163
175,6s2d,6s,2d,Offsuit,62o,163
176,6s2h,6s,2h,Offsuit,62o,163
177,6s2s,6s,2s,Suited,62s,110
178,6s3c,6s,3c,Offsuit,63o,148
179,6s3d,6s,3d,Offsuit,63o,148
180,6s3h,6s,3h,Offsuit,63o,148
181,6s3s,6s,3s,Suited,63s,90
182,6s4c,6s,4c,Offsuit,64o,136
183,6s4d,6s,4d,Offsuit,64o,136
184,6s4h,6s,4h,Offsuit,64o,136
185,6s4s,6s,4s,Suited,64s,70
186,6s5c,6s,5c,Offsuit,65o,123
187,6s5d,6s,5d,Offsuit,65o,123
188,6s5h,6s,5h,Offsuit,65o,123
189,6s5s,6s,5s,Suited,65s,63
190,7c2c,7c,2c,Suited,72s,120
191,7c2d,7c,2d,Offsuit,72o,169
192,7c2h,7c,2h,Offsuit,72o,169
193,7c2s,7c,2s,Offsuit,72o,169
194,7c3c,7c,3c,Suited,73s,103
195,7c3d,7c,3d,Offsuit,73o,161
196,7c3h,7c,3h,Offsuit,73o,161
197,7c3s,7c,3s,Offsuit,73o,161
198,7c4c,7c,4c,Suited,74s,85
199,7c4d,7c,4d,Offsuit,74o,145
200,7c4h,7c,4h,Offsuit,74o,145
201,7c4s,7c,4s,Offsuit,74o,145
202,7c5c,7c,5c,Suited,75s,67
203,7c5d,7c,5d,Offsuit,75o,130
204,7c5h,7c,5h,Offsuit,75o,130
205,7c5s,7c,5s,Offsuit,75o,130
206,7c6c,7c,6c,Suited,76s,56
207,7c6d,7c,6d,Offsuit,76o,121
208,7c6h,7c,6h,Offsuit,76o,121
209,7c6s,7c,6s,Offsuit,76o,121
210,7d7c,7c,7d,Pair,77,29
211,7h7c,7c,7h,Pair,77,29
212,7s7c,7c,7s,Pair,77,29
213,7d2c,7d,2c,Offsuit,72o,169
214,7d2d,7d,2d,Suited,72s,120
215,7d2h,7d,2h,Offsuit,72o,169
216,7d2s,7d,2s,Offsuit,72o,169
217,7d3c,7d,3c,Offsuit,73o,161
218,7d3d,7d,3d,Suited,73s,103
219,7d3h,7d,3h,Offsuit,73o,161
220,7d3s,7d,3s,Offsuit,73o,161
221,7d4c,7d,4c,Offsuit,74o,145
222,7d4d,7d,4d,Suited,74s,85
223,7d4h,7d,4h,Offsuit,74o,145
